Video Number,Age of Child,Corpus Number,Machine Intelligence Answer,MIA_anger,MIA_contempt,MIA_disgust,MIA_fear,MIA_happiness,MIA_neutral,MIA_sadness,MIA_surprise,Kefan Answer,FaceID,bald,haircolor,Age according to Face API
62,4,62,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.028,
        ""neutral"": 0.969,
        ""sadness"": 0.002,
        ""surprise"": 0.0",0,0.001,0,0,0.028,0.969,0.002,0,Neutral,f63cc725-cf79-4baf-84da-db4a997a9b7d,0.13,black,4
63,NO VIDEO,63,,,,,,,,,,,,,,NO VIDEO
64,4,64,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.999,
        ""sadness"": 0.001,
        ""surprise"": 0.0",0,0,0,0,0,0.999,0.001,0,Neutral,1e169949-8da0-463e-99d4-c31c2aa80aad,0.42,brown,4
65,5,65,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.996,
        ""sadness"": 0.001,
        ""surprise"": 0.003",0,0,0,0,0,0.996,0.001,0.003,Neutral,31da703f-1dab-46e0-89dc-9ff07c048011,0.35,black,5
66,5,66,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.991,
        ""sadness"": 0.008,
        ""surprise"": 0.0",0,0,0,0,0,0.991,0.008,0,Neutral,5a38610b-3c34-4284-aa5b-1eb31d6eb730,0.6,brown,5
67,4,67,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.999,
        ""sadness"": 0.001,
        ""surprise"": 0.0",0,0,0,0,0,0.999,0.001,0,Neutral,2534808f-7b2c-4291-b980-5b76364e2c43,0.06,brown,4
68,5,68,"        ""anger"": 0.001,
        ""contempt"": 0.392,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.005,
        ""neutral"": 0.592,
        ""sadness"": 0.01,
        ""surprise"": 0.0",0.001,0.392,0,0,0.005,0.592,0.01,0,Neutral,444ad5d0-acfe-4ada-8584-2a75c801e260,0.13,blond,5
69,7,69,"        ""anger"": 0.002,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.007,
        ""happiness"": 0.0,
        ""neutral"": 0.937,
        ""sadness"": 0.001,
        ""surprise"": 0.053",0.002,0,0,0.007,0,0.937,0.001,0.053,Neutral,13ebf998-9939-42b7-a134-e121613607d9,0.05,brown,7
70,1,70,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.293,
        ""neutral"": 0.705,
        ""sadness"": 0.001,
        ""surprise"": 0.0",0,0.001,0,0,0.293,0.705,0.001,0,Neutral,86b740a7-383c-4081-bd42-2c93cc752d57,0.03,blond,1
71,3,71,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.001,
        ""neutral"": 0.998,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0.001,0,0,0.001,0.998,0,0,Neutral,7efece4d-8af0-477f-813b-c0403b510a3e,0.08,brown,3
72,6,72,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.999,
        ""neutral"": 0.001,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,0.999,0.001,0,0,Neutral,032c21ab-d340-45fa-bb66-0427d6e3d9aa,0.6,brown,6
73,7,73,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.001,
        ""neutral"": 0.895,
        ""sadness"": 0.001,
        ""surprise"": 0.104",0,0,0,0,0.001,0.895,0.001,0.104,Neutral,12f5521e-6229-40b3-9794-83d0f5d38298,0.04,brown,7
74,7,74,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.021,
        ""neutral"": 0.968,
        ""sadness"": 0.008,
        ""surprise"": 0.001",0,0.001,0,0,0.021,0.968,0.008,0.001,Neutral,17ad4ba3-0e05-4114-94db-dc6f701009e6,0.04,brown,7
75,4,75,"        ""anger"": 0.0,
        ""contempt"": 0.006,
        ""disgust"": 0.001,
        ""fear"": 0.0,
        ""happiness"": 0.1,
        ""neutral"": 0.803,
        ""sadness"": 0.09,
        ""surprise"": 0.0",0,0.006,0.001,0,0.1,0.803,0.09,0,Neutral,a5744908-fe63-475c-b65a-f00840e334ed,0.04,blond,4
76,6,76,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.271,
        ""neutral"": 0.648,
        ""sadness"": 0.001,
        ""surprise"": 0.078",0,0,0,0,0.271,0.648,0.001,0.078,Happiness,8d0a25f7-6892-490f-92d0-5a52d6dfd3c4,0.05,brown,6
77,4,77,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,1,0,0,0,Happiness,eaf6207a-7783-4727-a6ed-dc14dd57983c,0.01,brown,4
